Date,Week,Age,Gender,Hospitalization,Intensive_Care,Deaths,2nd_Vac,Lockdown-Intensity
2021-02-19,7.0,43.29072556361302,0.4887542689965607,6955.809523809525,3114.0,211.57142857142858,2.11370517622039,3
2021-02-20,7.0,43.199843243216186,0.4897477806311327,6901.523809523809,3068.0,210.85714285714286,2.1574262307200165,3
2021-02-21,7.0,43.10896092281935,0.4906990891331992,6900.285714285715,3049.0,209.57142857142858,2.1914864298423837,3
2021-02-22,7.0,43.01807860242251,0.4916081945027603,6884.761904761904,3053.0,207.71428571428572,2.2617143886176816,3
2021-02-23,7.0,42.92719628202568,0.49247509673981593,6874.952380952382,3030.0,197.57142857142858,2.3346080746394007,3
2021-02-24,7.0,42.836313961628846,0.49329979584436606,6847.428571428572,2950.0,191.28571428571428,2.406200173621125,3
2021-02-25,8.0,42.55059967591456,0.49408229181641083,6834.571428571428,2891.0,185.71428571428572,2.4776599485969357,3
2021-02-26,8.0,42.459717355517725,0.49495110433111994,6801.523809523809,2841.0,180.28571428571428,2.559047632852851,3
2021-02-27,8.0,42.36883503512089,0.4959062333884933,6775.714285714285,2820.0,176.85714285714286,2.6069417053208146,3
2021-02-28,8.0,42.27795271472405,0.49694767898853115,6718.095238095238,2834.0,173.57142857142858,2.6360626101860496,3
2021-03-01,8.0,42.18707039432722,0.49807544113123325,6660.666666666666,2862.0,170.85714285714286,2.6962519886944776,3
2021-03-02,8.0,42.09618807393038,0.49928951981659964,6596.7619047619055,2849.0,167.42857142857142,2.7591287474684765,3
2021-03-03,8.0,42.00530575353355,0.5005899150446305,6535.428571428572,2816.0,158.71428571428572,2.8443081159665935,1
2021-03-04,9.0,41.719591467819264,0.5019766268153255,6456.190476190475,2805.0,153.85714285714286,2.9205159168637143,1
2021-03-05,9.0,41.62870914742242,0.5030753249788688,6372.380952380952,2756.0,147.85714285714286,3.001628126598226,1
2021-03-06,9.0,41.53782682702559,0.5038860095352602,6281.142857142857,2746.0,147.85714285714286,3.0602693142374555,1
2021-03-07,9.0,41.44694450662876,0.5044086804844997,6197.142857142857,2779.0,148.85714285714286,3.1006088889132153,1
2021-03-08,9.0,41.35606218623192,0.5046433378265874,6119.619047619048,2857.0,145.14285714285714,3.163012890102447,1
2021-03-09,9.0,41.26517986583509,0.5045899815615231,6040.380952380952,2776.0,142.71428571428572,3.2291388046943985,1
2021-03-10,9.0,41.17429754543825,0.5042486116893071,5974.666666666667,2727.0,148.28571428571428,3.310309958758818,1
2021-03-11,10.0,41.031440402581104,0.5036192282099392,5935.809523809525,2748.0,152.71428571428572,3.383659561128187,1
2021-03-12,10.0,40.940558082184275,0.5031186460743141,5948.7619047619055,2747.0,157.42857142857142,3.46922026335244,1
2021-03-13,10.0,40.84967576178743,0.502746865282432,5991.047619047619,2713.0,156.42857142857142,3.529845108134877,1
2021-03-14,10.0,40.7587934413906,0.5025038858342927,6056.380952380953,2767.0,155.57142857142858,3.5727950745636754,1
2021-03-15,10.0,40.66791112099377,0.5023897077298962,6146.285714285715,2825.0,157.14285714285714,3.644156208007804,1
2021-03-16,10.0,40.57702880059693,0.5024043309692426,6274.666666666666,2844.0,164.85714285714286,3.726354677536322,1
2021-03-17,10.0,40.4861464802001,0.502547755552332,6431.428571428572,2849.0,166.0,3.8240134027376755,1
2021-03-18,11.0,40.4861464802001,0.5028199814791642,6609.2380952380945,2887.0,171.71428571428572,3.9152159193959144,1
2021-03-19,11.0,40.39526415980326,0.503135048028206,6776.190476190476,2938.0,175.14285714285714,4.017069315584755,1
2021-03-20,11.0,40.304381839406425,0.5034929551994571,6960.857142857143,2945.0,177.71428571428572,4.081312620456197,1
2021-03-21,11.0,40.21349951900959,0.5038937029929179,7132.571428571428,3044.0,182.14285714285714,4.127420318844316,1
2021-03-22,11.0,40.12261719861275,0.5043372914085883,7299.714285714285,3139.0,184.28571428571428,4.2197235306426615,1
2021-03-23,11.0,40.031734878215914,0.5048237204464682,7460.952380952382,3156.0,190.14285714285714,4.321250928598748,1
2021-03-24,11.0,39.94085255781908,0.5053529901065575,7619.714285714285,3196.0,197.0,4.429145517130335,1
2021-03-25,12.0,39.79799541496193,0.5059251003888564,7798.47619047619,3249.0,199.71428571428572,4.527046034378859,1
2021-03-26,12.0,39.7071130945651,0.5064958635674615,7993.2380952380945,3322.0,208.28571428571428,4.634193593749784,1
2021-03-27,12.0,39.61623077416827,0.5070652796423728,8184.571428571428,3379.0,215.71428571428572,4.709368064455264,1
2021-03-28,12.0,39.525348453771436,0.5076333486135901,8398.95238095238,3444.0,216.28571428571428,4.773533177868666,1
2021-03-29,12.0,39.4344661333746,0.5082000704811136,8609.142857142857,3559.0,226.71428571428572,4.880584501598925,1
2021-03-30,12.0,39.34358381297777,0.5087654452449433,8826.190476190475,3588.0,228.85714285714286,4.99240189543312,1
2021-03-31,12.0,39.252701492580925,0.5093294729050791,9029.52380952381,3668.0,234.42857142857142,5.115037378223571,1
2021-04-01,13.0,39.39555863543807,0.5098921534615212,9202.857142857143,3719.0,234.0,5.2248590854594745,1
2021-04-02,13.0,39.30467631504123,0.510286086162815,9343.619047619048,3839.0,225.71428571428572,5.306813357049805,1
2021-04-03,13.0,39.2137939946444,0.5105112710089605,9407.238095238094,3905.0,222.85714285714286,5.384628293146032,1
2021-04-04,13.0,39.12291167424756,0.510567707999958,9425.523809523811,4047.0,225.28571428571428,5.445490118193606,1
2021-04-05,13.0,39.032029353850724,0.5104553971358071,9435.61904761905,4152.0,215.28571428571428,5.53020154088899,1
2021-04-06,13.0,38.941147033453895,0.5101743384165083,9371.42857142857,4342.0,212.0,5.644370693191936,1
2021-04-07,13.0,38.85026471305706,0.5097245318420611,9260.57142857143,4428.0,210.57142857142858,5.760522299692582,1
2021-04-08,14.0,38.85026471305706,0.5091059774124658,9172.476190476189,4461.0,214.42857142857142,5.866280457001404,1
2021-04-09,14.0,38.75938239266022,0.5086246178863366,9119.809523809523,4501.0,221.57142857142858,5.973539890304602,1
2021-04-10,14.0,38.668500072263384,0.5082804532636737,9192.47619047619,4517.0,227.0,6.051921413735244,1
2021-04-11,14.0,38.577617751866555,0.5080734835444769,9307.42857142857,4566.0,225.0,6.1125811439374225,1
2021-04-12,14.0,38.48673543146971,0.5080037087287463,9433.523809523811,4642.0,229.85714285714286,6.204596851759281,1
2021-04-13,14.0,38.39585311107288,0.508071128816482,9670.095238095239,4668.0,233.42857142857142,6.293375433218269,1
2021-04-14,14.0,38.30497079067605,0.5082757438076838,9994.380952380952,4653.0,236.0,6.393691465047486,1
2021-04-15,15.0,38.162113647818906,0.5086175537023517,10249.142857142857,4658.0,233.14285714285714,6.478328305121354,1
2021-04-16,15.0,38.07123132742207,0.5090929731972228,10436.857142857143,4714.0,231.0,6.567816624430248,1
2021-04-17,15.0,37.980349007025225,0.509702002292297,10527.809523809525,4760.0,228.42857142857142,6.636046490716238,1
2021-04-18,15.0,37.889466686628396,0.5104446409875745,10589.42857142857,4818.0,230.57142857142858,6.683069630636183,1
2021-04-19,15.0,37.79858436623156,0.511320889283055,10633.333333333332,4910.0,233.0,6.757137391474016,1
2021-04-20,15.0,37.70770204583472,0.5123307471787386,10628.095238095239,4951.0,234.42857142857142,6.832861608276795,1
2021-04-21,15.0,37.616819725437885,0.5134742146746254,10579.42857142857,4970.0,231.14285714285714,6.921219158807874,1
2021-04-22,16.0,37.47396258258074,0.5147512917707153,10556.57142857143,5034.0,233.71428571428572,7.002331368542386,1
2021-04-23,16.0,37.38308026218391,0.5158677580335068,10576.761904761905,5037.0,235.28571428571428,7.085649780339143,2
2021-04-24,16.0,37.29219794178708,0.5168236134629998,10618.476190476189,5008.0,233.42857142857142,7.1568268631205,2
2021-04-25,16.0,37.201315621390236,0.5176188580591942,10662.666666666666,5040.0,229.14285714285714,7.2160033615109285,2
2021-04-26,16.0,37.11043330099341,0.5182534918220901,10695.904761904761,5106.0,228.14285714285714,7.305196959170285,2
2021-04-27,16.0,37.01955098059657,0.5187275147516875,10684.380952380952,5050.0,219.14285714285714,7.4154637562442645,2
2021-04-28,16.0,36.92866866019973,0.5190409268479864,10609.714285714286,5033.0,210.28571428571428,7.567796354798433,2
2021-04-29,17.0,36.92866866019973,0.5191937281109867,10502.095238095237,5019.0,200.28571428571428,7.7281068879637305,2
2021-04-30,17.0,36.84012548464316,0.5191764391580483,10328.666666666666,5011.0,191.14285714285714,7.8926746452829475,2
2021-05-01,17.0,36.75392145392685,0.5189890599891712,10109.523809523807,4998.0,184.28571428571428,7.981467662088035,2
2021-05-02,17.0,36.6700565680508,0.5186315906043553,9870.57142857143,5018.0,184.0,8.060484340747067,2
2021-05-03,17.0,36.58853082701502,0.5181040310036006,9631.42857142857,4997.0,174.28571428571428,8.198890439151498,2
2021-05-04,17.0,36.5093442308195,0.517406381186907,9394.190476190475,4945.0,169.71428571428572,8.39026824301448,2
2021-05-05,17.0,36.432496779464245,0.5165386411542748,9168.57142857143,4829.0,164.42857142857142,8.665427592694922,2
2021-05-06,18.0,36.432496779464245,0.5155008109057037,8944.476190476189,4756.0,156.0,8.930450923522319,2
2021-05-07,18.0,36.35798847294925,0.5145722135425579,8733.619047619048,4662.0,151.85714285714286,9.212843584544244,2
2021-05-08,18.0,36.28348016643425,0.5137528490648373,8527.714285714286,4596.0,146.42857142857142,9.39647682522471,2
2021-05-09,18.0,36.20897185991926,0.513042717472542,8298.380952380952,4569.0,142.57142857142858,9.518692480032758,2
2021-05-10,18.0,36.13446355340427,0.512441818765672,8062.190476190475,4571.0,137.28571428571428,9.747461439130626,2
2021-05-11,18.0,36.059955246889274,0.5119501529442273,7818.761904761904,4449.0,128.14285714285714,10.090623298395986,2
2021-05-12,18.0,35.98544694037428,0.5115677200082077,7581.047619047619,4361.0,120.0,10.526419179474479,2
2021-05-13,19.0,35.98544694037428,0.5112945199576134,7336.857142857143,4244.0,109.42857142857143,10.716995821628924,2
2021-05-14,19.0,35.91093863385928,0.5109703784258676,7050.476190476191,4172.0,99.85714285714286,10.985326049658674,2
2021-05-15,19.0,35.836430327344296,0.5105952954129699,6730.571428571428,4084.0,97.57142857142857,11.17958129917754,2
2021-05-16,19.0,35.761922020829296,0.5101692709189206,6439.809523809524,4054.0,94.57142857142857,11.320268182265732,2
2021-05-17,19.0,35.6874137143143,0.5096923049437196,6162.380952380953,4002.0,91.28571428571429,11.556686671850962,2
2021-05-18,19.0,35.61290540779931,0.509164397487367,5891.428571428572,3864.0,83.71428571428571,11.974780006829121,2
2021-05-19,19.0,35.53839710128431,0.5085855485498626,5598.761904761904,3693.0,75.57142857142857,12.60428860900223,2
2021-05-20,20.0,35.39553995842717,0.5079557581312065,5294.857142857143,3579.0,73.85714285714286,13.185568719856066,2
2021-05-21,20.0,35.32103165191218,0.5076089413637025,5056.380952380952,3460.0,71.42857142857143,13.708355605368192,2
2021-05-22,20.0,35.246523345397186,0.5075450982473501,4875.2380952380945,3344.0,66.42857142857143,14.002983425155167,2
2021-05-23,20.0,35.172015038882186,0.5077642287821497,4662.666666666667,3291.0,62.857142857142854,14.18537041428902,2
2021-05-24,20.0,35.097506732367194,0.5082663329681012,4419.809523809524,3222.0,54.714285714285715,14.398264101513686,2
2021-05-25,20.0,35.0229984258522,0.5090514108052046,4142.666666666666,3165.0,49.42857142857143,14.8301708597638,2
2021-05-26,20.0,34.94849011933721,0.5101194622934597,3866.285714285714,2990.0,47.57142857142857,15.591525898484512,2
2021-05-27,21.0,34.80563297648006,0.5114704874328668,3615.714285714286,2826.0,44.857142857142854,16.261826382844507,2
2021-05-28,21.0,34.73112466996507,0.5124866003772783,3355.714285714286,2696.0,40.142857142857146,16.821370471308636,2
2021-05-29,21.0,34.65661636345008,0.5131678011266942,3083.904761904762,2589.0,37.57142857142857,17.099313436895315,2
2021-05-30,21.0,34.58210805693508,0.5135140896811146,2846.380952380952,2512.0,36.714285714285715,17.309898671689528,2
2021-05-31,21.0,34.507599750420084,0.5135254660405393,2641.6190476190473,2446.0,37.0,17.702846836707426,2
2021-06-01,21.0,34.43309144390509,0.5132019302049684,2506.7619047619046,2285.0,33.285714285714285,18.310560472160926,2
2021-06-02,21.0,34.3585831373901,0.5125434821744018,2414.1904761904766,2144.0,29.142857142857142,19.06660811529896,2
2021-06-03,22.0,34.21572599453295,0.5115501219488398,2310.5714285714284,2029.0,25.571428571428573,19.499549406686224,2
2021-06-04,22.0,34.14121768801796,0.5107415014643463,2203.904761904762,1962.0,22.571428571428573,20.03294025685413,2
2021-06-05,22.0,34.06670938150297,0.5101176207209217,2095.4285714285716,1889.0,21.0,20.37725694380747,2
2021-06-06,22.0,33.992201074987975,0.5096784797185656,1986.7619047619046,1846.0,20.0,20.63560392706373,2
2021-06-07,22.0,33.917692768472975,0.5094240784572783,1876.952380952381,1789.0,18.142857142857142,21.07725334098567,2
2021-06-08,22.0,33.84318446195798,0.5093544169370597,1749.0476190476188,1693.0,16.285714285714285,21.853926687809235,2
2021-06-09,22.0,33.76867615544299,0.5094694951579097,1619.2380952380954,1591.0,13.142857142857142,22.913535224078977,2
2021-06-10,23.0,33.62581901258584,0.5097693131198285,1514.0952380952383,1499.0,12.0,23.754795918189362,2
2021-06-11,23.0,33.55131070607085,0.5101088144297751,1431.7142857142858,1413.0,11.571428571428571,24.479374506829934,2
2021-06-12,23.0,33.47680239955586,0.5104879990877492,1370.6666666666665,1336.0,9.857142857142858,24.812325764620734,2
2021-06-13,23.0,33.402294093040865,0.5109068670937512,1308.2857142857142,1329.0,9.428571428571429,25.058247523721636,2
2021-06-14,23.0,33.327785786525865,0.5113654184477809,1246.0952380952383,1273.0,9.714285714285714,25.522508704363332,2
2021-06-15,23.0,33.25327748001087,0.5118636531498383,1187.5238095238096,1202.0,9.428571428571429,26.294555522761925,2
2021-06-16,23.0,33.17876917349588,0.5124015711999234,1126.2857142857142,1130.0,9.285714285714286,27.306647711453312,2
2021-06-17,24.0,33.035912030638734,0.5129791725980362,1068.095238095238,1065.0,8.857142857142858,28.125044020287195,2
2021-06-18,24.0,32.96140372412374,0.5139110471345568,1003.2380952380953,1006.0,7.857142857142857,28.821599993311622,2
2021-06-19,24.0,32.88689541760875,0.5151971948094852,935.2380952380953,961.0,7.285714285714286,29.166426729160488,2
2021-06-20,24.0,32.81238711109376,0.5168376156228214,879.047619047619,927.0,6.571428571428571,29.424284113594865,0
2021-06-21,24.0,32.73787880457876,0.5188323095745654,824.1904761904761,885.0,5.285714285714286,29.88806171014222,0
