Date,Week,Age,Gender,Incidence,Intensive_Care,2nd_Vac,Lockdown-Intensity
2020-08-03,31.0,34.37176611390426,0.5099092786334422,6.141997593261131,263.0,0.0,1
2020-08-04,31.0,34.27643197622516,0.5126544840700012,6.3742478941034895,258.0,0.0,1
2020-08-05,31.0,34.18109783854606,0.5165837479270315,6.614921780986763,238.0,0.0,1
2020-08-06,32.0,33.895383552831774,0.5216970702045329,6.983152827918171,236.0,0.0,1
2020-08-07,32.0,33.80004941515268,0.5260142718171569,7.09265944645006,226.0,0.0,1
2020-08-08,32.0,33.704715277473575,0.5295353527649035,7.270758122743683,228.0,0.0,1
2020-08-09,32.0,33.609381139794486,0.5322603130477727,7.2888086642599275,234.0,0.0,1
2020-08-10,32.0,33.51404700211538,0.5341891526657644,7.6558363417569195,227.0,0.0,1
2020-08-11,32.0,33.418712864436294,0.5353218716188789,7.953068592057762,230.0,0.0,1
2020-08-12,32.0,33.32337872675719,0.5356584699071159,8.4705174488568,220.0,0.0,1
2020-08-13,33.0,33.03766444104291,0.5351989475304755,8.8604091456077,223.0,0.0,1
2020-08-14,33.0,32.94233030336381,0.5350780324092629,9.306859205776174,230.0,0.0,1
2020-08-15,33.0,32.84699616568471,0.5352957245434781,9.362214199759325,228.0,0.0,1
2020-08-16,33.0,32.75166202800561,0.535852023933121,9.56919374247894,224.0,0.0,1
2020-08-17,33.0,32.656327890326516,0.5367469305781919,10.104693140794224,226.0,0.0,1
2020-08-18,33.0,32.56099375264741,0.5379804444786904,10.511432009626956,219.0,0.0,1
2020-08-19,33.0,32.46565961496832,0.5395525656346168,10.768953068592058,226.0,0.0,1
2020-08-20,34.0,32.46565961496832,0.541463294045971,10.925391095066185,229.0,0.0,1
2020-08-21,34.0,32.401210397934385,0.5427628649758348,11.262334536702769,235.0,0.0,1
2020-08-22,34.0,32.3676461015456,0.5434512784242082,11.458483754512635,230.0,0.0,1
2020-08-23,34.0,32.36496672580198,0.5435285343910913,11.547533092659446,242.0,0.0,1
2020-08-24,34.0,32.393172270703516,0.542994632876484,11.401925391095066,243.0,0.0,1
2020-08-25,34.0,32.45226273625021,0.5418495738803862,11.344163658243081,223.0,0.0,1
2020-08-26,34.0,32.54223812244207,0.5400933574027983,11.176895306859207,225.0,0.0,1
2020-08-27,35.0,32.54223812244207,0.5377259834437199,11.080625752105897,238.0,0.0,1
2020-08-28,35.0,32.66309842927908,0.5358250865690969,10.76173285198556,234.0,0.0,1
2020-08-29,35.0,32.7839587361161,0.5343906667789293,10.658243080625752,239.0,0.0,1
2020-08-30,35.0,32.904819042953115,0.5334227240732173,10.62214199759326,243.0,0.0,1
2020-08-31,35.0,33.02567934979012,0.5329212584519608,10.3309265944645,244.0,0.0,1
2020-09-01,35.0,33.146539656627134,0.5328862699151597,10.128760529482552,233.0,0.0,1
2020-09-02,35.0,33.26739996346414,0.5333177584628142,9.885679903730445,226.0,0.0,1
2020-09-03,36.0,33.41025710632129,0.534215724094924,9.85800240673887,221.0,0.0,1
2020-09-04,36.0,33.531117413158306,0.534599809223487,9.981949458483754,223.0,0.0,1
2020-09-05,36.0,33.651977719995315,0.5344700138485032,10.309265944645006,220.0,0.0,1
2020-09-06,36.0,33.77283802683233,0.5338263379699726,10.364620938628159,216.0,0.0,1
2020-09-07,36.0,33.89369833366935,0.5326687815878951,10.634175691937426,227.0,0.0,1
2020-09-08,36.0,34.01455864050636,0.5309973447022708,10.706377858002407,229.0,0.0,1
