Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Booster,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity,Date
2020.0,51.0,46.83518510205543,0.45040419690442624,0.91,0.0,0.0,0.0,5157.0,20295.0,930.8571428571429,211.71600481347772,16307.904761904763,3,2020-12-21
2020.0,51.0,46.96779741479832,0.44961312065104597,0.88,0.0,0.0,0.0,5202.0,28989.0,957.1428571428571,214.19374247894103,16525.428571428572,3,2020-12-22
2020.0,51.0,47.100409727541205,0.44872207306715745,0.85,0.0,0.0,0.0,5226.0,33984.0,983.1428571428571,217.34777376654634,16729.809523809523,3,2020-12-23
2020.0,52.0,47.38612401325549,0.4477310541527606,0.83,0.0,0.0,0.0,5330.0,21162.0,918.7142857142857,204.33935018050542,16914.190476190477,3,2020-12-24
2020.0,52.0,47.518736325998375,0.44680245405278685,0.83,0.0,0.0,0.0,5364.0,13169.0,842.2857142857143,184.3598074608905,16909.428571428572,3,2020-12-25
2020.0,52.0,47.651348638741254,0.445936272767236,0.86,0.0,0.0,0.0,5520.0,11540.0,814.4285714285714,172.1323706377858,16644.0,3,2020-12-26
2020.0,52.0,47.783960951484154,0.4451325102961083,0.89,0.02928450545436545,0.0,0.0,5546.0,9809.0,812.4285714285714,167.2057761732852,16333.238095238095,3,2020-12-27
2020.0,52.0,47.91657326422704,0.44439116663940365,0.93,0.050984439478819046,0.0,0.0,5582.0,15733.0,808.1428571428571,161.71600481347772,16041.619047619048,3,2020-12-28
2020.0,52.0,48.049185576969926,0.443712241797122,0.95,0.11121110929800491,0.0,0.0,5637.0,27581.0,814.8571428571429,160.0216606498195,15739.523809523811,3,2020-12-29
2020.0,52.0,48.1817978897128,0.44309573576926337,0.95,0.18831029281678532,0.0,0.0,5630.0,31065.0,820.0,156.50902527075812,15432.476190476193,3,2020-12-30
2020.0,53.0,48.324655032569936,0.4425416485558277,0.95,0.2483481001911661,0.0,0.0,5622.0,19591.0,829.2857142857143,154.61853188929,15074.57142857143,3,2020-12-31
2020.0,53.0,48.41970040043069,0.44251697780442584,0.88,0.33036853378445397,0.0,0.0,5267.0,13478.0,840.1428571428571,174.04572803850783,14886.38095238095,3,2021-01-11
2020.0,53.0,48.4771788234093,0.44302172351505764,0.88,0.42547340567165953,0.0,0.0,5209.0,22584.0,885.1428571428571,168.2286401925391,14856.476190476193,3,2021-01-12
2020.0,53.0,48.49709030150575,0.4440558856877231,0.88,0.5601455612182878,0.0,0.0,5164.0,24098.0,947.4285714285714,163.56197352587245,14808.095238095237,3,2021-01-13
2021.0,2.0,48.457318345167224,0.44561946432242233,0.9,0.6610390068914944,0.0,0.0,5104.0,20395.0,955.1428571428571,156.68712394705173,14706.476190476193,3,2021-01-14
2021.0,2.0,48.4020959334994,0.44734413405274914,0.92,0.7703518681773818,0.0011043039766310994,0.0,5050.0,18292.0,894.0,149.18652226233453,14557.619047619048,3,2021-01-15
2021.0,2.0,48.30930657694944,0.44922989487870374,0.93,0.8387441321069946,0.002574303387789273,0.0,4992.0,13438.0,787.2857142857143,145.309265944645,14324.666666666666,3,2021-01-16
