Date,Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity
2020-11-03,2020.0,44.0,40.95857326647168,0.5005835657083011,1.03,0.0,0.0,4748,19131,267.14285714285717,146.31167268351385,25024,2
2020-11-04,2020.0,44.0,41.115489820576606,0.5002343363289037,1.02,0.0,0.0,5084,19493,269.42857142857144,147.29121540312877,25956,2
2020-11-05,2020.0,45.0,41.115489820576606,0.49987483061293914,0.99,0.0,0.0,5294,19157,275.57142857142856,148.8676293622142,26516,2
2020-11-06,2020.0,45.0,41.273244318695994,0.4995149861217448,0.98,0.0,0.0,5490,19246,278.42857142857144,149.74608904933814,27240,2
2020-11-07,2020.0,45.0,41.4312780636543,0.4991548665438507,0.97,0.0,0.0,5660,15764,281.0,151.29121540312877,27448,2
2020-11-08,2020.0,45.0,41.58949550308517,0.49879453568954,0.96,0.0,0.0,5794,12342,279.42857142857144,149.8604091456077,27580,2
2020-11-09,2020.0,45.0,41.747799426238814,0.49843405748106934,0.96,0.0,0.0,6002,18837,283.42857142857144,149.18170878459688,27676,2
2020-11-10,2020.0,45.0,41.90609107862775,0.4980734959428897,0.97,0.0,0.0,6106,19171,295.42857142857144,149.22984356197352,27656,2
2020-11-11,2020.0,45.0,42.06427027667258,0.497712915191867,0.99,0.0,0.0,6236,20360,313.57142857142856,150.2731648616125,27660,2
2020-11-12,2020.0,46.0,42.207127419529726,0.4973454244695155,1.02,0.0,0.0,6354,20208,331.85714285714283,151.5379061371841,28196,2
2020-11-13,2020.0,46.0,42.36477601500909,0.4969780430061804,1.04,0.0,0.0,6578,20253,357.85714285714283,152.7496991576414,28980,2
2020-11-14,2020.0,46.0,42.522004177311956,0.49661083513729676,1.05,0.0,0.0,6630,15778,374.57142857142856,152.7665463297232,29740,2
2020-11-15,2020.0,46.0,42.67870715294864,0.49624386525159686,1.05,0.0,0.0,6752,12103,385.2857142857143,152.4789410348977,30512,2
2020-11-16,2020.0,46.0,42.834779332566264,0.49587719778133155,1.04,0.0,0.0,6850,18552,397.57142857142856,152.13598074608905,30468,2
2020-11-17,2020.0,46.0,42.99011436559446,0.49551089719249053,1.04,0.0,0.0,7014,19295,412.57142857142856,152.28519855595667,30992,2
2020-11-18,2020.0,46.0,43.14460527489119,0.4951450279750234,1.02,0.0,0.0,7102,20753,428.14285714285717,152.75812274368232,32256,2
2020-11-19,2020.0,47.0,43.28746241774833,0.49474706094916854,1.0,0.0,0.0,7162,20452,443.0,153.0517448856799,32420,2
2020-11-20,2020.0,47.0,43.43994221509787,0.49434965430734784,0.98,0.0,0.0,7206,20079,450.14285714285717,152.84235860409146,32588,2
2020-11-21,2020.0,47.0,43.591254344317015,0.49395287255271364,0.95,0.0,0.0,7242,14498,451.2857142857143,151.3020457280385,32844,2
2020-11-22,2020.0,47.0,43.74129046843434,0.4935567801732604,0.94,0.0,0.0,7392,11450,455.42857142857144,150.5162454873646,32428,2
2020-11-23,2020.0,47.0,43.889942197135476,0.4931614416320458,0.94,0.0,0.0,7452,17854,462.57142857142856,149.676293622142,32636,2
2020-11-24,2020.0,47.0,44.037101201408795,0.4927669213574109,0.94,0.0,0.0,7516,18134,465.42857142857144,148.2791817087846,33020,2
2020-11-25,2020.0,47.0,44.18265932819122,0.4923732837332014,0.94,0.0,0.0,7538,19675,474.57142857142856,146.98194945848377,32684,2
2020-11-26,2020.0,48.0,44.32551647104837,0.4919454349997375,0.96,0.0,0.0,7630,19456,483.57142857142856,145.78339350180505,33304,2
2020-11-27,2020.0,48.0,44.46754966068254,0.4915185975117854,0.98,0.0,0.0,7692,19049,498.14285714285717,144.5439229843562,33284,2
2020-11-28,2020.0,48.0,44.60765971578514,0.49109283546102744,1.0,0.0,0.0,7760,15661,514.0,145.94344163658243,33228,2
2020-11-29,2020.0,48.0,44.745740333544646,0.49066821295553303,1.03,0.0,0.0,7782,11702,520.7142857142857,146.24669073405536,33636,2
2020-11-30,2020.0,48.0,44.88168596032677,0.49024479400997917,1.07,0.0,0.0,7832,18108,534.1428571428571,146.5523465703971,33624,2
2020-12-01,2020.0,48.0,45.01539190632025,0.48982264253587104,1.09,0.0,0.0,7824,19784,560.1428571428571,148.5379061371841,33544,2
2020-12-02,2020.0,48.0,45.146754460182535,0.489401822331763,1.12,0.0,0.0,7898,21476,580.2857142857143,150.705174488568,34020,2
2020-12-03,2020.0,49.0,45.28961160303968,0.4889898166098304,1.14,0.0,0.0,7942,23128,612.0,155.1239470517449,34392,2
2020-12-04,2020.0,49.0,45.415980725715784,0.4885792693770357,1.15,0.0,0.0,8002,22505,636.4285714285714,159.28279181708785,35528,2
2020-12-05,2020.0,49.0,45.53970233950313,0.48817024403440407,1.16,0.0,0.0,8076,18282,650.1428571428571,162.43682310469313,36412,2
2020-12-06,2020.0,49.0,45.660677793391635,0.48776280383089227,1.16,0.0,0.0,8194,15172,667.7142857142857,166.61251504211793,36564,2
2020-12-07,2020.0,49.0,45.77880998806876,0.48735701185360936,1.15,0.0,0.0,8334,22517,693.8571428571429,171.91817087845968,37016,2
2020-12-08,2020.0,49.0,45.89400349056516,0.4869529310180372,1.15,0.0,0.0,8476,24354,721.5714285714286,177.41756919374248,38100,2
2020-12-09,2020.0,49.0,46.00616464890048,0.48655062405825145,1.13,0.0,0.0,8518,25824,737.4285714285714,182.64981949458485,39436,2
2020-12-10,2020.0,50.0,46.14902179175762,0.4861872926054689,1.11,0.0,0.0,8638,26911,771.0,187.20216606498195,40792,2
2020-12-11,2020.0,50.0,46.254845003014395,0.48582585991328747,1.09,0.0,0.0,8828,26200,795.0,191.64861612515043,42120,2
2020-12-12,2020.0,50.0,46.35736674656039,0.48546638811288767,1.07,0.0,0.0,8950,22116,830.2857142857143,196.26233453670278,43304,2
2020-12-13,2020.0,50.0,46.45650164082863,0.48510893911492614,1.05,0.0,0.0,9082,16975,846.5714285714286,198.43200962695548,44720,3
2020-12-14,2020.0,50.0,46.55216665846988,0.4847535745997567,1.04,0.0,0.0,9322,24845,869.2857142857143,201.2334536702768,45436,3
2020-12-15,2020.0,50.0,46.64428124099834,0.4844003560076506,1.03,0.0,0.0,9444,26140,891.7142857142857,203.3826714801444,46344,3
2020-12-16,2020.0,50.0,46.73276741343743,0.4840493445290175,1.01,0.0,0.0,9640,28184,923.0,206.22262334536703,47488,3
2020-12-17,2020.0,51.0,46.73276741343742,0.48373737656863264,0.99,0.0,0.0,9678,27706,929.0,207.17930204572804,48492,3
2020-12-18,2020.0,51.0,46.813773748033626,0.4834277373138374,0.97,0.0,0.0,9778,26894,934.5714285714286,208.014440433213,49068,3
2020-12-19,2020.0,51.0,46.890934395123445,0.4831204871467804,0.96,0.0,0.0,9860,20990,928.2857142857143,206.65944645006016,50172,3
2020-12-20,2020.0,51.0,46.96418286022462,0.4828156861606311,0.94,0.0,0.0,10036,17156,939.2857142857143,206.87725631768953,50376,3
2020-12-21,2020.0,51.0,47.0334558055928,0.4825133941498004,0.91,0.0,0.0,10314,22578,944.2857142857143,204.14921780986762,50576,3
2020-12-22,2020.0,51.0,47.09869316486738,0.4822136706001617,0.88,0.0,0.0,10404,24518,946.2857142857143,202.1973525872443,50896,3
